Team1,Team2,Goal Difference
Liverpool,Man City,2
Liverpool,Newcastle,4
Liverpool,Arsenal,1
Liverpool,Crystal Palace,2
Liverpool,Burnley,5
Liverpool,Everton,2
Liverpool,Chelsea,1
Liverpool,Aston Villa,1
Liverpool,Brighton,0
Man City,Newcastle,0
Man City,Arsenal,2
Man City,Norwich,-1
Man City,Southampton,0
Man City,Burnley,3
Man City,Chelsea,2
Man City,Bournemouth,2
Man City,Brighton,3
Man City,Watford,8
Leicester,Tottenham,0
Leicester,Arsenal,1
Leicester,Crystal Palace,2
Leicester,Everton,2
Leicester,Bournemouth,3
Leicester,Man United,-2
Leicester,Brighton,4
Leicester,Watford,2
Leicester,Sheffield United,1
Chelsea,West Ham,-1
Chelsea,Wolves,3
Chelsea,Norwich,1
Chelsea,Crystal Palace,2
Chelsea,Aston Villa,1
Chelsea,Watford,2
Chelsea,Sheffield United,1
Man United,Tottenham,2
Man United,West Ham,-2
Man United,Crystal Palace,-2
Man United,Southampton,-1
Man United,Bournemouth,-2
Man United,Aston Villa,0
Man United,Brighton,2
Man United,Sheffield United,1
Wolves,West Ham,2
Wolves,Arsenal,0
Wolves,Crystal Palace,0
Wolves,Burnley,-2
Wolves,Everton,0
Wolves,Bournemouth,3
Wolves,Aston Villa,2
Wolves,Sheffield United,0
Sheffield United,Tottenham,-1
Sheffield United,Newcastle,-2
Sheffield United,Southampton,0
Sheffield United,Everton,1
Sheffield United,Burnley,2
Sheffield United,Aston Villa,0
Tottenham,Newcastle,0
Tottenham,West Ham,1
Tottenham,Arsenal,0
Tottenham,Crystal Palace,5
Tottenham,Everton,1
Tottenham,Bournemouth,2
Arsenal,Norwich,-1
Arsenal,Southampton,0
Arsenal,Aston Villa,0
Arsenal,Brighton,1
Arsenal,Watford,1
Burnley,West Ham,3
Burnley,Norwich,1
Burnley,Crystal Palace,-2
Burnley,Brighton,0
Burnley,Watford,5
Crystal Palace,Bournemouth,2
Crystal Palace,Aston Villa,1
Everton,Norwich,-2
Everton,Southampton,1
Everton,Bournemouth,-3
Everton,Aston Villa,-2
Newcastle,West Ham,1
Newcastle,Bournemouth,1
Newcastle,Aston Villa,-3
Newcastle,Brighton,2
Newcastle,Watford,1
Southampton,Norwich,2
Southampton,Bournemouth,-2
Southampton,Brighton,2
Southampton,Watford,1
Brighton,Norwich,1
West Ham,Norwich,2
West Ham,Aston Villa,-1
West Ham,Watford,4
Watford,Norwich,1
